factor,bigram_vocab_size,rom_bigram,rom_write,engram_bigram,engram_dim,engram_heads,engram_max_ngram,engram_per_head,engram_canonicalize,rom_layer_only,val_loss,train_time_ms,step_avg_ms,peak_allocated_mib,peak_reserved_mib,run_id,file
5,251520,0,0,0,,,,0,0,-1,5.2157,705101,940.13,,,baseline_ga4_qkgrad960_20260512_140925,logs/baseline_ga4_qkgrad960_20260512_140925.console.txt
5,251520,0,0,0,,,,0,0,-1,4.0735,209633,1048.16,,,baseline_nan_debug_short_20260512_121214,logs/baseline_nan_debug_short_20260512_121214.console.txt
39,1961856,0,0,1,1536,8,3,1,1,2,3.2887,2401942,1601.29,86586,87504,engram_3b_adamevery_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_142441,logs/engram_3b_adamevery_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_142441.console.txt
39,1961856,0,0,1,1536,8,3,1,1,2,3.2880,2372802,1581.87,86586,88584,engram_3b_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_133250,logs/engram_3b_perhead_canon_l2_bf39_dim1536_h8_ng3_1500_ckpt_20260513_133250.console.txt
5,251520,0,0,1,1536,8,3,0,1,2,3.5786,631381,1262.76,44283,45190,engram_canon_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_110146,logs/engram_canon_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_110146.console.txt
5,251520,0,0,1,1536,8,3,0,0,2,,,,,,engram_l2_bf5_dim1536_h8_ng3_1500_analysis_v2_20260513_022252,logs/engram_l2_bf5_dim1536_h8_ng3_1500_analysis_v2_20260513_022252.console.txt
5,251520,0,0,1,1536,8,3,0,0,2,3.3021,1893656,1262.44,44283,45130,engram_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_005359,logs/engram_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_005359.console.txt
5,251520,0,0,1,1536,8,3,0,0,2,3.5808,631373,1262.75,44283,45190,engram_l2_bf5_dim1536_h8_ng3_500_20260513_002833,logs/engram_l2_bf5_dim1536_h8_ng3_500_20260513_002833.console.txt
5,251520,0,0,1,1536,8,3,0,0,2,3.5828,631413,1262.83,44283,45190,engram_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_020611,logs/engram_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_020611.console.txt
5,251520,0,0,1,384,8,3,0,0,2,3.5829,619314,1238.63,38056,38832,engram_l2_bf5_dim384_h8_ng3_500_20260512_234447,logs/engram_l2_bf5_dim384_h8_ng3_500_20260512_234447.console.txt
5,251520,0,0,1,384,8,3,0,0,2,3.5855,619372,1238.74,38056,38832,engram_l2_bf5_dim384_h8_ng3_500_ckpt_20260513_013549,logs/engram_l2_bf5_dim384_h8_ng3_500_ckpt_20260513_013549.console.txt
5,251520,0,0,1,768,16,3,0,0,2,3.5838,627167,1254.33,40140,40990,engram_l2_bf5_dim768_h16_ng3_500_20260513_001353,logs/engram_l2_bf5_dim768_h16_ng3_500_20260513_001353.console.txt
5,251520,0,0,1,768,8,2,0,0,2,3.5839,621838,1243.68,40128,40948,engram_l2_bf5_dim768_h8_ng2_500_20260512_235919,logs/engram_l2_bf5_dim768_h8_ng2_500_20260512_235919.console.txt
5,251520,0,0,1,768,8,3,0,0,2,3.5870,623142,1246.28,40132,40930,engram_l2_bf5_dim768_h8_ng3_500_20260512_232905,logs/engram_l2_bf5_dim768_h8_ng3_500_20260512_232905.console.txt
5,251520,0,0,1,768,8,3,0,0,2,3.5853,623135,1246.27,40132,40930,engram_l2_bf5_dim768_h8_ng3_500_ckpt_20260513_015058,logs/engram_l2_bf5_dim768_h8_ng3_500_ckpt_20260513_015058.console.txt
5,251520,0,0,1,1536,8,3,1,1,2,3.2998,2056534,1371.02,47487,51478,engram_perhead_canon_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_120227,logs/engram_perhead_canon_l2_bf5_dim1536_h8_ng3_1500_ckpt_20260513_120227.console.txt
5,251520,0,0,1,1536,8,3,1,1,2,3.5802,685885,1371.77,47487,51478,engram_perhead_canon_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_102742,logs/engram_perhead_canon_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_102742.console.txt
5,251520,0,0,1,1536,8,3,1,0,2,3.5797,685773,1371.55,47486,51476,engram_perhead_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_104519,logs/engram_perhead_only_l2_bf5_dim1536_h8_ng3_500_ckpt_20260513_104519.console.txt
4,201216,1,1,0,,,,0,0,2,3.3121,2218523,1499.00,49054,51876,hashed_rom_h1_k32_v128_bf4_l2_ga8_20260512_184702,logs/hashed_rom_h1_k32_v128_bf4_l2_ga8_20260512_184702.console.txt
4,201216,1,1,0,,,,0,0,2,3.4015,1736514,1389.21,,,hashed_rom_mqa_h1_k32_v128_bf4_l2_ga8_20260512_193558,logs/hashed_rom_mqa_h1_k32_v128_bf4_l2_ga8_20260512_193558.console.txt
41,2089088,1,1,0,,,,0,0,2,3.3146,2060776,1392.42,42263,42958,hashed_rom_sparse10x_l2_ga8_20260512_174420,logs/hashed_rom_sparse10x_l2_ga8_20260512_174420.console.txt
5,251520,1,1,0,,,,0,0,2,3.5890,616322,1232.64,37170,37858,lr_sweep_l2_hashrom_sparseadam0p25_bf5_h6k4v16_500_20260512_222159,logs/lr_sweep_l2_hashrom_sparseadam0p25_bf5_h6k4v16_500_20260512_222159.console.txt
5,251520,1,1,0,,,,0,0,2,3.5853,616346,1232.69,37170,37858,lr_sweep_l2_hashrom_sparseadam0p5_beta2near1_bf5_h6k4v16_500_20260512_225136,logs/lr_sweep_l2_hashrom_sparseadam0p5_beta2near1_bf5_h6k4v16_500_20260512_225136.console.txt
5,251520,1,1,0,,,,0,0,2,,,,,,lr_sweep_l2_hashrom_sparseadam0p5_beta2one_bf5_h6k4v16_500_20260512_225116,logs/lr_sweep_l2_hashrom_sparseadam0p5_beta2one_bf5_h6k4v16_500_20260512_225116.console.txt
5,251520,1,1,0,,,,0,0,2,3.5918,616285,1232.57,37170,37858,lr_sweep_l2_hashrom_sparseadam0p5_beta2zero_bf5_h6k4v16_500_20260512_223638,logs/lr_sweep_l2_hashrom_sparseadam0p5_beta2zero_bf5_h6k4v16_500_20260512_223638.console.txt
5,251520,1,1,0,,,,0,0,2,3.5862,616340,1232.68,37170,37858,lr_sweep_l2_hashrom_sparseadam0p5_bf5_h6k4v16_500_20260512_220731,logs/lr_sweep_l2_hashrom_sparseadam0p5_bf5_h6k4v16_500_20260512_220731.console.txt
5,251520,1,1,0,,,,0,0,2,3.5895,616255,1232.51,37170,37858,lr_sweep_l2_hashrom_sparseadam10_bf5_h6k4v16_500_20260512_210041,logs/lr_sweep_l2_hashrom_sparseadam10_bf5_h6k4v16_500_20260512_210041.console.txt
5,251520,1,1,0,,,,0,0,2,3.5882,616335,1232.67,37170,37858,lr_sweep_l2_hashrom_sparseadam1_bf5_h6k4v16_500_20260512_201716,logs/lr_sweep_l2_hashrom_sparseadam1_bf5_h6k4v16_500_20260512_201716.console.txt
5,251520,1,1,0,,,,0,0,2,3.5905,616319,1232.64,37170,37858,lr_sweep_l2_hashrom_sparseadam25_bf5_h6k4v16_500_20260512_211509,logs/lr_sweep_l2_hashrom_sparseadam25_bf5_h6k4v16_500_20260512_211509.console.txt
5,251520,1,1,0,,,,0,0,2,3.5906,616326,1232.65,37170,37858,lr_sweep_l2_hashrom_sparseadam2_bf5_h6k4v16_500_20260512_203144,logs/lr_sweep_l2_hashrom_sparseadam2_bf5_h6k4v16_500_20260512_203144.console.txt
5,251520,1,1,0,,,,0,0,2,3.5910,616325,1232.65,37170,37858,lr_sweep_l2_hashrom_sparseadam5_bf5_h6k4v16_500_20260512_204613,logs/lr_sweep_l2_hashrom_sparseadam5_bf5_h6k4v16_500_20260512_204613.console.txt
5,251520,1,1,0,,,,0,0,2,3.5906,616311,1232.62,37170,37858,lr_sweep_l2_hashrom_sparseadam75_bf5_h6k4v16_500_20260512_212937,logs/lr_sweep_l2_hashrom_sparseadam75_bf5_h6k4v16_500_20260512_212937.console.txt
5,251520,1,1,0,,,,0,0,2,,,,,,lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230633,logs/lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230633.console.txt
5,251520,1,1,0,,,,0,0,2,3.5899,615852,1231.70,37170,37878,lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230715,logs/lr_sweep_l2_hashrom_sparsesgd0p5_mom0p9_bf5_h6k4v16_500_20260512_230715.console.txt
100,5030400,1,0,0,,,,0,0,,3.2840,2004598,1354.46,76061,76732,rom_bigram100_rom_read_blackwell_sm120_20260511_235550,logs/rom_bigram100_rom_read_blackwell_sm120_20260511_235550.console.txt
100,5030400,1,1,0,,,,0,0,,3.2850,2029409,1371.22,76197,76878,rom_bigram100_rom_write_blackwell_sm120_20260512_004218,logs/rom_bigram100_rom_write_blackwell_sm120_20260512_004218.console.txt
25,1257600,0,0,0,,,,0,0,,3.2833,1924743,1300.50,55734,56428,rom_bigram25_fused_mlp_blackwell_sm120_20260511_230921,logs/rom_bigram25_fused_mlp_blackwell_sm120_20260511_230921.console.txt
5,251520,0,0,0,,,,0,0,,3.2958,1868697,1262.63,39523,40288,rom_bigram5_fused_mlp_blackwell_sm120_20260511_222749,logs/rom_bigram5_fused_mlp_blackwell_sm120_20260511_222749.console.txt
5,251520,1,1,0,,,,0,0,2,3.3022,1853334,1252.25,37624,38298,rom_bigram5_rom_l2_blackwell_sm120_20260512_065456,logs/rom_bigram5_rom_l2_blackwell_sm120_20260512_065456.console.txt
5,251520,1,1,0,,,,0,0,2,5.2366,640666,854.22,64985,66640,rom_token_engram_gate_l2_ga4_blackwell_sm120_20260512_085154,logs/rom_token_engram_gate_l2_ga4_blackwell_sm120_20260512_085154.console.txt
5,251520,1,1,0,,,,0,0,2,5.2208,648602,864.80,,,rom_token_engram_gate_l2_ga4_state768_blackwell_sm120_20260512_093852,logs/rom_token_engram_gate_l2_ga4_state768_blackwell_sm120_20260512_093852.console.txt
5,251520,1,1,0,,,,0,0,2,3.3127,2082569,1407.14,36357,37040,rom_token_engram_gate_l2_ga8_debug_20260512_143413,logs/rom_token_engram_gate_l2_ga8_debug_20260512_143413.console.txt
5,251520,1,1,0,,,,0,0,2,3.3137,2287026,1545.29,40928,41796,rom_token_engram_gate_l2_ga8_state3072_20260512_165307,logs/rom_token_engram_gate_l2_ga8_state3072_20260512_165307.console.txt
5,251520,1,1,0,,,,0,0,2,3.3140,2113736,1428.20,37010,37864,rom_token_engram_gate_l2_ga8_state768_20260512_160911,logs/rom_token_engram_gate_l2_ga8_state768_20260512_160911.console.txt
5,251520,1,1,0,,,,0,0,2,5.2418,714383,952.51,,,rom_token_engram_gate_scale01_l2_ga4_20260512_125056,logs/rom_token_engram_gate_scale01_l2_ga4_20260512_125056.console.txt
5,251520,1,1,0,,,,0,0,2,5.2300,721817,962.42,,,rom_token_engram_gate_scale0_qkgrad960_20260512_134422,logs/rom_token_engram_gate_scale0_qkgrad960_20260512_134422.console.txt
5,251520,1,1,0,,,,0,0,2,3.3149,2114591,1428.78,36573,37340,rom_token_engram_gate_shortconv_l2_ga8_20260512_152410,logs/rom_token_engram_gate_shortconv_l2_ga8_20260512_152410.console.txt
5,251520,1,1,0,,,,0,0,2,5.2321,714126,952.17,,,rom_token_engram_gate_stabilized_l2_ga4_20260512_122433,logs/rom_token_engram_gate_stabilized_l2_ga4_20260512_122433.console.txt
5,251520,1,1,0,,,,0,0,2,4.1090,212565,1062.83,,,rom_token_engram_gate_stable_debug_20260512_115950,logs/rom_token_engram_gate_stable_debug_20260512_115950.console.txt
5,251520,1,1,0,,,,0,0,2,,,,,,rom_token_l2_ga2_blackwell_sm120_20260512_074430,logs/rom_token_l2_ga2_blackwell_sm120_20260512_074430.console.txt
5,251520,1,1,0,,,,0,0,2,3.8590,1959036,1323.67,64425,65878,rom_token_l2_ga4_blackwell_sm120_20260512_080330,logs/rom_token_l2_ga4_blackwell_sm120_20260512_080330.console.txt
