rank,absolute_row,training_hit_count,bucket_ngram,bucket_hash_head,scan_count,top_example
1,25428267,4412760,2,5,7," the AFC"
2,15006439,4412561,2,3,0,""
3,10026382,4412527,2,2,2," overview focuses"
4,10487866,4412525,2,2,0,""
5,15467979,4412509,2,3,0,""
6,66246,4412494,2,0,1,"pe act"
7,20448106,4412477,2,4,0,""
8,19986430,4412470,2,4,0,""
9,527666,4412470,2,0,0,""
10,24966559,4412468,2,5,0,""
11,5046319,4412456,2,1,0,""
12,5507763,4412449,2,1,0,""
13,27809870,2523729,2,5,3," to ESPN"
14,28874306,2521299,2,5,0,""
15,12869861,2521274,2,2,0,""
16,3973921,2521227,2,0,0,""
17,18914144,2521223,2,3,0,""
18,22829765,2521212,2,4,0,""
19,23894169,2521206,2,4,0,""
20,2909773,2521201,2,0,6," major role"
21,17849876,2521199,2,3,0,""
22,7889828,2521184,2,1,0,""
23,13934073,2521182,2,2,1," yod"
24,8954000,2521180,2,1,1," bricks unlocked"
25,15826334,1634771,2,3,0,""
26,21133982,1634362,2,4,0,""
27,25786370,1634339,2,5,0,""
28,16154025,1634272,2,3,0,""
29,26114103,1634137,2,5,0,""
30,10846305,1634085,2,2,0,""
31,20806257,1634063,2,4,0,""
32,11173982,1634049,2,2,1," (General"
33,5866262,1634046,2,1,0,""
34,6193929,1634041,2,1,0,""
35,886201,1634033,2,0,0,""
36,1213862,1634016,2,0,0,""
37,23322936,1306138,2,4,0,""
38,15119934,1306054,2,3,0,""
39,20099891,1305994,2,4,0,""
40,5159838,1305917,2,1,0,""
41,13362696,1305885,2,2,4," pay in"
42,179771,1305856,2,0,0,""
43,3402496,1305846,2,0,0,""
44,18342809,1305827,2,3,0,""
45,47434777,1305826,3,3,1," at night –"
46,25080012,1305810,2,5,0,""
47,8382593,1305802,2,1,2," and aggreg"
48,28303097,1305801,2,5,1,"37700"
49,10139891,1305792,2,2,0,""
50,37474423,1305727,3,1,0,""
51,52297958,1305682,3,4,2," like the simple"
52,32494276,1305652,3,0,0,""
53,52414898,1305625,3,4,0,""
54,42337574,1305620,3,2,2," alternative insulation,"
55,47317765,1305599,3,3,0,""
56,37357387,1305587,3,1,0,""
57,32377208,1305586,3,0,0,""
58,42454594,1305584,3,2,0,""
59,57395069,1305576,3,5,0,""
60,57278169,1305571,3,5,0,""
61,28271441,1264125,2,5,0,""
62,23291320,1263756,2,4,0,""
63,10341083,1263726,2,2,0,""
64,13331320,1263714,2,2,1," and deft"
65,8351267,1263703,2,1,0,""
66,20301035,1263697,2,4,0,""
67,15321112,1263682,2,3,1,"EL�"
68,380979,1263680,2,0,0,""
69,5361040,1263675,2,1,0,""
70,18311363,1263665,2,3,0,""
71,25281148,1263659,2,5,1," associated python"
72,3371200,1263657,2,0,1,"hand Ze"
73,29726212,1247614,2,5,0,""
74,23668960,1247530,2,4,0,""
75,3748520,1247466,2,0,0,""
76,8728617,1247426,2,1,0,""
77,19766134,1247405,2,3,0,""
78,18688833,1247397,2,3,0,""
79,28649121,1247375,2,5,0,""
80,14786091,1247342,2,2,0,""
81,24746091,1247339,2,4,0,""
82,4825971,1247337,2,0,1," building across"
83,13708720,1247332,2,2,0,""
84,9806038,1247328,2,1,1," growth -"
85,19371361,888690,2,3,0,""
86,29331523,886613,2,5,0,""
87,24351386,886538,2,4,1,"PS magazines"
88,24593281,886514,2,4,0,""
89,14633041,886413,2,2,0,""
90,14391290,886394,2,2,0,""
91,9652938,886379,2,1,0,""
92,19613154,886376,2,3,0,""
93,4431138,886365,2,0,0,""
94,4672841,886363,2,0,0,""
95,29573442,886359,2,5,0,""
96,9411217,886356,2,1,1," radios."
97,22906881,786176,2,4,0,""
98,6020181,785905,2,1,0,""
99,17926992,785885,2,3,0,""
100,20960292,785792,2,4,0,""
101,11000244,785748,2,2,0,""
102,27886986,785730,2,5,0,""
103,15980301,785729,2,3,0,""
104,2986889,785724,2,0,0,""
105,7966944,785720,2,1,0,""
106,1040108,785706,2,0,5," hospitality and"
107,25940421,785699,2,5,0,""
108,12946977,785699,2,2,0,""
109,4107070,783617,2,0,0,""
110,24027510,783601,2,4,0,""
111,7703228,783586,2,1,0,""
112,9087167,783585,2,1,0,""
113,19047383,783583,2,3,0,""
114,17663324,783581,2,3,0,""
115,2723161,783578,2,0,0,""
116,14067270,783577,2,2,0,""
117,22643281,783572,2,4,0,""
118,29007671,783565,2,5,0,""
119,27623402,783560,2,5,0,""
120,12683281,783555,2,2,1,"als more"
121,5900685,706401,2,1,1," less on"
122,20840680,706230,2,4,1," whose sound"
123,25964658,706213,2,5,0,""
124,15860757,706167,2,3,1," does about"
125,25820793,706164,2,5,0,""
126,6044484,706161,2,1,0,""
127,920624,706159,2,0,0,""
128,11024537,706156,2,2,3,"ards and"
129,10880728,706141,2,2,1," MIC will"
130,1064417,706139,2,0,0,""
131,20984537,706133,2,4,0,""
132,16004580,706132,2,3,1," strides,"
133,2791491,686911,2,0,0,""
134,18748465,686872,2,3,0,""
135,8788249,686866,2,1,0,""
136,3808152,686844,2,0,0,""
137,27691732,686838,2,5,0,""
138,28708753,686834,2,5,1," more worthwhile"
139,7771558,686831,2,1,0,""
140,13768352,686828,2,2,0,""
141,17731654,686826,2,3,0,""
142,22711611,686826,2,4,0,""
143,12751611,686820,2,2,0,""
144,23728592,686814,2,4,0,""
145,12668874,620535,2,2,0,""
146,17648903,619890,2,3,3," or original"
147,12668429,619887,2,2,0,""
148,22628525,619879,2,4,0,""
149,27608939,619871,2,5,0,""
150,2708770,619869,2,0,0,""
151,7688831,619866,2,1,1," (bound"
152,2708277,619862,2,0,1,"cluded ceremony"
153,27608662,619861,2,5,0,""
154,7688356,619859,2,1,0,""
155,22628826,619854,2,4,0,""
156,17648500,619852,2,3,0,""
157,347465,604244,2,0,1,"er ranch"
158,5327526,603321,2,1,2," enabling factor"
159,7602137,603095,2,1,0,""
160,10307569,603058,2,2,0,""
161,12582190,603035,2,2,5," hunting is"
162,22542190,603004,2,4,2," who expected"
163,27522311,603002,2,5,0,""
164,20267521,602997,2,4,0,""
165,2622070,602990,2,0,0,""
166,25247634,602981,2,5,0,""
167,17562233,602977,2,3,0,""
168,15287598,602967,2,3,0,""
169,13595709,598709,2,2,2,"ollies"
170,26705968,598688,2,5,0,""
171,21725839,598676,2,4,0,""
172,3635669,598643,2,0,0,""
173,23555469,598631,2,4,0,""
174,18575682,598628,2,3,0,""
175,1805655,598623,2,0,3,"head ("
176,6785728,598622,2,1,0,""
177,11765791,598615,2,2,0,""
178,8615706,598615,2,1,0,""
179,16745848,598615,2,3,0,""
180,28535550,598613,2,5,4," tough on"
181,28468226,487297,2,5,0,""
182,4455160,487136,2,0,0,""
183,24375408,486945,2,4,1,"against the"
184,19395383,486934,2,3,0,""
185,23488113,486907,2,4,0,""
186,18508190,486881,2,3,0,""
187,29355545,486881,2,5,2," for Modest"
188,3568057,486867,2,0,0,""
189,14415312,486865,2,2,0,""
190,9435239,486864,2,1,0,""
191,8548118,486862,2,1,0,""
192,13528161,486861,2,2,0,""
193,20280057,468929,2,4,1," Art &"
194,359681,468721,2,0,0,""
195,20258969,468656,2,4,0,""
196,15299964,468630,2,3,0,""
197,15279148,468614,2,3,0,""
198,10299161,468614,2,2,16," fit the"
199,339105,468608,2,0,4," and 23"
200,25239058,468601,2,5,0,""
